dossier_id,country,model_decision,final_human_decision,reviewer_confidence,override_of_model,override_reason,label_source,aware_category,amr_unmet_need,targets_mdr_pathogen,glass_resistance_trend,similarity_to_existing_watch,existing_watch_comparator
DOS-10B6A7E2DE,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-2410524236,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-8616375BBF,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-D45AEBA30A,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-DB138935D1,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-5D2F0F8EA9,Botswana,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,declining,low,not_applicable
DOS-293FBD2F6F,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F850ACD3ED,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3F5EA1AC3D,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4EDD06197F,Tanzania,deep_review,deep_review,0.88,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-20C06F820E,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-FD3F8CEC3C,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-9F143F4D9B,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-6DCD68C539,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,watch,routine,False,stable,high,thiamphenicol
DOS-5E0ED46B6E,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-C77F8F4DC7,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-127FE994C0,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,watch,routine,False,rising,moderate,ofloxacin
DOS-86643B5D93,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,watch,routine,False,stable,high,ceftriaxone
DOS-2283EC88B7,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-D78D1D83E7,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-B9AEDB2F6F,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1653489A93,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-8ECBAB4E4B,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4139BC87B8,Tanzania,deep_review,deep_review,0.88,False,none,machine_adjudicated,watch,routine,False,rising,high,thiamphenicol
DOS-CA435611E2,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4D743C22EB,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-0028D6A771,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,watch,routine,False,stable,high,ciprofloxacin
DOS-4A5F81A082,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,watch,routine,False,rising,high,ceftriaxone
DOS-158A67C688,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-FA014E7957,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-60B5BEF35E,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-BB29FEFC37,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1D5D70317B,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-96059F841C,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,rising,low,not_applicable
DOS-7EDC54C379,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-495EAFE4AB,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-11A07C174B,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A157791B8B,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-0853992233,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3BF53293FB,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-66C11EF814,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-B8FACDC71C,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-CF4744AB4A,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,rising,low,not_applicable
DOS-FA9F645A25,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-7A537A43DF,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-473C24A5CA,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A718F44153,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-6CA85964EA,Tanzania,deep_review,deep_review,0.88,False,none,machine_adjudicated,watch,routine,False,rising,high,ofloxacin
DOS-183B7E5DFE,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-C06CA81DD8,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1BC1770A6F,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-79770737DD,Botswana,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1D18A263FF,Burkina Faso,deep_review,reject_and_return,0.97,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-84AD12282F,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-AC2AC9BA39,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,reserve,high,True,rising,not_applicable,not_applicable
DOS-A28CF36E46,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F85A80DD94,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-D8BD4B2F0D,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-ECAC193A34,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-B86BACD65E,Burkina Faso,deep_review,deep_review,0.88,False,none,machine_adjudicated,watch,routine,False,rising,high,clarithromycin
DOS-BBFF2FDC2D,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4CAA048C80,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-65AD4BEBD7,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F97178C095,Burkina Faso,deep_review,deep_review,0.88,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3F27B1B6E1,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4D4CBB939D,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-0D7C575F81,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-2F23C3A6B0,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-801323507B,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,watch,moderate,False,rising,low,erythromycin
DOS-78C67E7EC1,Tanzania,deep_review,deep_review,0.88,False,none,machine_adjudicated,watch,routine,False,rising,moderate,ampicillin
DOS-20B792D24E,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F07818C315,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,rising,low,not_applicable
DOS-3746015DC2,Botswana,fast_track,fast_track,0.94,False,none,machine_adjudicated,reserve,critical,True,rising,not_applicable,not_applicable
DOS-76DAEB8367,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-11BB11B5D2,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F19516AAD5,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-902DD1A87E,Tanzania,fast_track,fast_track,0.94,False,none,machine_adjudicated,reserve,high,True,rising,not_applicable,not_applicable
DOS-48E0CDD2BB,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-CAD4E17270,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,watch,routine,False,stable,moderate,ampicillin
DOS-8B7FB26975,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-357CE091CE,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-7114CC0D97,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-DA7463B5F0,Burkina Faso,deep_review,deep_review,0.88,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-B273BB30D2,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-8B60B71DD1,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-799A5B32F3,Burkina Faso,standard_review,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,watch,moderate,False,rising,moderate,levofloxacin
DOS-20A16017AE,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,watch,routine,False,stable,low,lincomycin
DOS-3567222AC9,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
