dossier_id,country,section_id,module,presence,length_status,correctness,error_tags,char_count,min_chars,max_chars,critical
DOS-9D9BC5402A,Burkina Faso,m1_application_admin,1,present,length_ok,correct,,1772,900,2200,True
DOS-9D9BC5402A,Burkina Faso,m1_manufacturer_gmp,1,present,length_ok,correct,,1258,700,1800,True
DOS-9D9BC5402A,Burkina Faso,m1_product_information,1,present,length_ok,correct,,1103,600,1600,True
DOS-9D9BC5402A,Burkina Faso,m2_quality_overall_summary,2,present,length_ok,correct,,2037,1200,3000,True
DOS-9D9BC5402A,Burkina Faso,m2_clinical_overview,2,present,length_ok,incorrect,clinical_failed,1650,900,2500,True
DOS-9D9BC5402A,Burkina Faso,m3_api_quality,3,present,length_ok,correct,,1867,1300,3200,True
DOS-9D9BC5402A,Burkina Faso,m3_fpp_manufacturing,3,present,length_ok,correct,,1859,1200,3000,True
DOS-9D9BC5402A,Burkina Faso,m3_stability,3,present,length_ok,correct,,2000,900,2600,True
DOS-9D9BC5402A,Burkina Faso,m4_nonclinical_summary,4,present,length_ok,correct,,1727,700,2000,False
DOS-9D9BC5402A,Burkina Faso,m5_trial_listing,5,present,length_ok,correct,,1611,700,1800,True
DOS-9D9BC5402A,Burkina Faso,m5_pivotal_trial_reports,5,present,length_ok,incorrect,clinical_failed,1733,1500,3800,True
DOS-9D9BC5402A,Burkina Faso,m5_bioequivalence,5,present,length_ok,correct,,1378,600,1800,False
DOS-76DAEB8367,Burkina Faso,m1_application_admin,1,present,length_ok,correct,,2091,900,2200,True
DOS-76DAEB8367,Burkina Faso,m1_manufacturer_gmp,1,present,length_ok,incorrect,gmp_non_compliant,1511,700,1800,True
DOS-76DAEB8367,Burkina Faso,m1_product_information,1,present,length_ok,incorrect,inn_infringement,1267,600,1600,True
DOS-76DAEB8367,Burkina Faso,m2_quality_overall_summary,2,present,length_ok,correct,,2374,1200,3000,True
DOS-76DAEB8367,Burkina Faso,m2_clinical_overview,2,present,length_ok,correct,,1589,900,2500,True
DOS-76DAEB8367,Burkina Faso,m3_api_quality,3,present,length_ok,correct,,2317,1300,3200,True
DOS-76DAEB8367,Burkina Faso,m3_fpp_manufacturing,3,present,length_ok,correct,,2494,1200,3000,True
DOS-76DAEB8367,Burkina Faso,m3_stability,3,present,length_ok,correct,,1379,900,2600,True
DOS-76DAEB8367,Burkina Faso,m4_nonclinical_summary,4,present,length_ok,correct,,1786,700,2000,False
DOS-76DAEB8367,Burkina Faso,m5_trial_listing,5,present,length_ok,correct,,1431,700,1800,True
DOS-76DAEB8367,Burkina Faso,m5_pivotal_trial_reports,5,present,length_ok,correct,,2278,1500,3800,True
DOS-76DAEB8367,Burkina Faso,m5_bioequivalence,5,present,length_ok,correct,,1196,600,1800,False
DOS-07D1D5033F,Uganda,m1_application_admin,1,present,length_ok,correct,,1317,900,2200,True
DOS-07D1D5033F,Uganda,m1_manufacturer_gmp,1,present,length_ok,incorrect,gmp_certificate_expired,1206,700,1800,True
DOS-07D1D5033F,Uganda,m1_product_information,1,present,length_ok,incorrect,inn_infringement,704,600,1600,True
DOS-07D1D5033F,Uganda,m2_quality_overall_summary,2,present,length_ok,correct,,2248,1200,3000,True
DOS-07D1D5033F,Uganda,m2_clinical_overview,2,present,length_ok,correct,,1308,900,2500,True
DOS-07D1D5033F,Uganda,m3_api_quality,3,present,length_ok,correct,,1818,1300,3200,True
DOS-07D1D5033F,Uganda,m3_fpp_manufacturing,3,present,length_ok,correct,,2240,1200,3000,True
DOS-07D1D5033F,Uganda,m3_stability,3,present,length_ok,correct,,1382,900,2600,True
DOS-07D1D5033F,Uganda,m4_nonclinical_summary,4,present,length_ok,correct,,1329,700,2000,False
DOS-07D1D5033F,Uganda,m5_trial_listing,5,present,length_ok,correct,,1341,700,1800,True
DOS-07D1D5033F,Uganda,m5_pivotal_trial_reports,5,present,length_ok,correct,,1548,1500,3800,True
DOS-07D1D5033F,Uganda,m5_bioequivalence,5,present,too_short,partial,insufficient_detail,45,600,1800,False
DOS-21FDD048BC,Tanzania,m1_application_admin,1,present,length_ok,correct,,2185,900,2200,True
DOS-21FDD048BC,Tanzania,m1_manufacturer_gmp,1,present,length_ok,correct,,1366,700,1800,True
DOS-21FDD048BC,Tanzania,m1_product_information,1,present,length_ok,correct,,920,600,1600,True
DOS-21FDD048BC,Tanzania,m2_quality_overall_summary,2,present,length_ok,correct,,2096,1200,3000,True
DOS-21FDD048BC,Tanzania,m2_clinical_overview,2,present,length_ok,correct,,1753,900,2500,True
DOS-21FDD048BC,Tanzania,m3_api_quality,3,present,length_ok,correct,,2850,1300,3200,True
DOS-21FDD048BC,Tanzania,m3_fpp_manufacturing,3,present,length_ok,correct,,2289,1200,3000,True
DOS-21FDD048BC,Tanzania,m3_stability,3,present,length_ok,correct,,1409,900,2600,True
DOS-21FDD048BC,Tanzania,m4_nonclinical_summary,4,present,length_ok,correct,,1387,700,2000,False
DOS-21FDD048BC,Tanzania,m5_trial_listing,5,present,length_ok,correct,,947,700,1800,True
DOS-21FDD048BC,Tanzania,m5_pivotal_trial_reports,5,present,length_ok,correct,,2204,1500,3800,True
DOS-21FDD048BC,Tanzania,m5_bioequivalence,5,present,length_ok,correct,,1093,600,1800,False
DOS-8C7FD104E0,Botswana,m1_application_admin,1,present,length_ok,correct,,1018,900,2200,True
DOS-8C7FD104E0,Botswana,m1_manufacturer_gmp,1,present,length_ok,correct,,1024,700,1800,True
DOS-8C7FD104E0,Botswana,m1_product_information,1,present,length_ok,correct,,1307,600,1600,True
DOS-8C7FD104E0,Botswana,m2_quality_overall_summary,2,present,length_ok,correct,,1506,1200,3000,True
DOS-8C7FD104E0,Botswana,m2_clinical_overview,2,present,length_ok,correct,,1908,900,2500,True
DOS-8C7FD104E0,Botswana,m3_api_quality,3,present,length_ok,correct,,1497,1300,3200,True
DOS-8C7FD104E0,Botswana,m3_fpp_manufacturing,3,present,length_ok,correct,,2415,1200,3000,True
DOS-8C7FD104E0,Botswana,m3_stability,3,present,length_ok,correct,,2090,900,2600,True
DOS-8C7FD104E0,Botswana,m4_nonclinical_summary,4,present,length_ok,correct,,1192,700,2000,False
DOS-8C7FD104E0,Botswana,m5_trial_listing,5,present,length_ok,correct,,1260,700,1800,True
DOS-8C7FD104E0,Botswana,m5_pivotal_trial_reports,5,present,length_ok,correct,,2067,1500,3800,True
DOS-8C7FD104E0,Botswana,m5_bioequivalence,5,present,length_ok,correct,,1304,600,1800,False
DOS-B273BB30D2,Tanzania,m1_application_admin,1,present,length_ok,correct,,1705,900,2200,True
DOS-B273BB30D2,Tanzania,m1_manufacturer_gmp,1,present,length_ok,correct,,1647,700,1800,True
DOS-B273BB30D2,Tanzania,m1_product_information,1,present,length_ok,correct,,639,600,1600,True
DOS-B273BB30D2,Tanzania,m2_quality_overall_summary,2,present,length_ok,correct,,2310,1200,3000,True
DOS-B273BB30D2,Tanzania,m2_clinical_overview,2,present,length_ok,correct,,1110,900,2500,True
DOS-B273BB30D2,Tanzania,m3_api_quality,3,present,length_ok,correct,,2717,1300,3200,True
DOS-B273BB30D2,Tanzania,m3_fpp_manufacturing,3,present,length_ok,correct,,2815,1200,3000,True
DOS-B273BB30D2,Tanzania,m3_stability,3,present,length_ok,correct,,1413,900,2600,True
DOS-B273BB30D2,Tanzania,m4_nonclinical_summary,4,present,length_ok,correct,,1343,700,2000,False
DOS-B273BB30D2,Tanzania,m5_trial_listing,5,present,length_ok,correct,,1072,700,1800,True
DOS-B273BB30D2,Tanzania,m5_pivotal_trial_reports,5,present,length_ok,correct,,3566,1500,3800,True
DOS-B273BB30D2,Tanzania,m5_bioequivalence,5,present,length_ok,correct,,1058,600,1800,False
DOS-90A7CA5B5E,Burkina Faso,m1_application_admin,1,present,length_ok,correct,,1748,900,2200,True
DOS-90A7CA5B5E,Burkina Faso,m1_manufacturer_gmp,1,present,length_ok,partial,gmp_outdated,1286,700,1800,True
DOS-90A7CA5B5E,Burkina Faso,m1_product_information,1,present,length_ok,correct,,1153,600,1600,True
DOS-90A7CA5B5E,Burkina Faso,m2_quality_overall_summary,2,present,length_ok,correct,,2189,1200,3000,True
DOS-90A7CA5B5E,Burkina Faso,m2_clinical_overview,2,present,length_ok,incorrect,clinical_missing,1311,900,2500,True
DOS-90A7CA5B5E,Burkina Faso,m3_api_quality,3,present,length_ok,correct,,2764,1300,3200,True
DOS-90A7CA5B5E,Burkina Faso,m3_fpp_manufacturing,3,present,length_ok,correct,,2338,1200,3000,True
DOS-90A7CA5B5E,Burkina Faso,m3_stability,3,present,length_ok,correct,,2462,900,2600,True
DOS-90A7CA5B5E,Burkina Faso,m4_nonclinical_summary,4,present,length_ok,correct,,1594,700,2000,False
DOS-90A7CA5B5E,Burkina Faso,m5_trial_listing,5,present,length_ok,correct,,1463,700,1800,True
DOS-90A7CA5B5E,Burkina Faso,m5_pivotal_trial_reports,5,missing,missing,incorrect,clinical_missing,0,1500,3800,True
DOS-90A7CA5B5E,Burkina Faso,m5_bioequivalence,5,present,length_ok,correct,,1729,600,1800,False
