dossier_id,country,holistic_policy_decision,risk_score,compliant_submission,inn_infringement,gmp_inspection_status,gmp_inspection_recent,gmp_certificate_validity,clinical_data_available,pivotal_trial_outcome,aware_category,amr_unmet_need,targets_mdr_pathogen,glass_resistance_trend,similarity_to_existing_watch,existing_watch_comparator,defect_modes
DOS-9D9BC5402A,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_not_met,watch,moderate,False,stable,low,ciprofloxacin,clinical_failed
DOS-76DAEB8367,Burkina Faso,reject_and_return,0.92,False,True,non_compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant|inn_infringement
DOS-07D1D5033F,Uganda,reject_and_return,0.92,False,True,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|inn_infringement|short_section
DOS-21FDD048BC,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-8C7FD104E0,Botswana,reject_and_return,0.92,True,False,compliant,True,expired,True,endpoint_met,watch,moderate,False,rising,moderate,ceftriaxone,
DOS-B273BB30D2,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-90A7CA5B5E,Burkina Faso,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_outdated
DOS-40311D759E,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-53603BEA98,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,watch,routine,False,rising,low,erythromycin,clinical_failed
DOS-7700E87371,Uganda,fast_track,0.28,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,missing_section
DOS-EC81664E9E,Botswana,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,watch,routine,False,rising,high,azithromycin,clinical_failed|missing_section
DOS-73455B4BFF,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-5BB6A73E47,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,watch,moderate,False,rising,high,ampicillin,clinical_failed|missing_section
DOS-2B00DD19CB,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-20B792D24E,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-0F16E2E240,Botswana,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|missing_section
DOS-520F70637B,Uganda,reject_and_return,0.92,True,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-5D8149E49D,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,False,expired,True,endpoint_not_met,watch,routine,False,stable,high,ciprofloxacin,clinical_failed|gmp_certificate_expired|gmp_non_compliant
DOS-80D4166A38,Botswana,reject_and_return,0.92,False,False,non_compliant,False,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|gmp_non_compliant|short_section
