dossier_id,country,section_id,module,presence,length_status,correctness,error_tags,char_count,min_chars,max_chars,critical
DOS-B63CA90FE3,Tanzania,m1_application_admin,1,present,length_ok,correct,,1499,900,2200,True
DOS-B63CA90FE3,Tanzania,m1_manufacturer_gmp,1,present,length_ok,correct,,1528,700,1800,True
DOS-B63CA90FE3,Tanzania,m1_product_information,1,present,length_ok,correct,,926,600,1600,True
DOS-B63CA90FE3,Tanzania,m2_quality_overall_summary,2,present,length_ok,correct,,1229,1200,3000,True
DOS-B63CA90FE3,Tanzania,m2_clinical_overview,2,present,length_ok,correct,,2387,900,2500,True
DOS-B63CA90FE3,Tanzania,m3_api_quality,3,present,length_ok,correct,,2329,1300,3200,True
DOS-B63CA90FE3,Tanzania,m3_fpp_manufacturing,3,present,length_ok,correct,,1376,1200,3000,True
DOS-B63CA90FE3,Tanzania,m3_stability,3,present,length_ok,correct,,1356,900,2600,True
DOS-B63CA90FE3,Tanzania,m4_nonclinical_summary,4,present,length_ok,correct,,799,700,2000,False
DOS-B63CA90FE3,Tanzania,m5_trial_listing,5,present,length_ok,correct,,1107,700,1800,True
DOS-B63CA90FE3,Tanzania,m5_pivotal_trial_reports,5,present,length_ok,correct,,3739,1500,3800,True
DOS-B63CA90FE3,Tanzania,m5_bioequivalence,5,present,length_ok,correct,,1672,600,1800,False
DOS-CE95BD1106,Burkina Faso,m1_application_admin,1,present,length_ok,correct,,2063,900,2200,True
DOS-CE95BD1106,Burkina Faso,m1_manufacturer_gmp,1,present,length_ok,correct,,1314,700,1800,True
DOS-CE95BD1106,Burkina Faso,m1_product_information,1,present,length_ok,correct,,1177,600,1600,True
DOS-CE95BD1106,Burkina Faso,m2_quality_overall_summary,2,present,length_ok,correct,,2970,1200,3000,True
DOS-CE95BD1106,Burkina Faso,m2_clinical_overview,2,present,length_ok,correct,,2156,900,2500,True
DOS-CE95BD1106,Burkina Faso,m3_api_quality,3,present,length_ok,correct,,2976,1300,3200,True
DOS-CE95BD1106,Burkina Faso,m3_fpp_manufacturing,3,present,length_ok,correct,,1510,1200,3000,True
DOS-CE95BD1106,Burkina Faso,m3_stability,3,present,length_ok,correct,,2098,900,2600,True
DOS-CE95BD1106,Burkina Faso,m4_nonclinical_summary,4,present,length_ok,correct,,1670,700,2000,False
DOS-CE95BD1106,Burkina Faso,m5_trial_listing,5,present,length_ok,correct,,1208,700,1800,True
DOS-CE95BD1106,Burkina Faso,m5_pivotal_trial_reports,5,present,length_ok,correct,,2820,1500,3800,True
DOS-CE95BD1106,Burkina Faso,m5_bioequivalence,5,present,too_short,partial,insufficient_detail,45,600,1800,False
DOS-FCD93952AF,Uganda,m1_application_admin,1,present,length_ok,correct,,1859,900,2200,True
DOS-FCD93952AF,Uganda,m1_manufacturer_gmp,1,present,length_ok,correct,,1207,700,1800,True
DOS-FCD93952AF,Uganda,m1_product_information,1,present,length_ok,correct,,1581,600,1600,True
DOS-FCD93952AF,Uganda,m2_quality_overall_summary,2,present,length_ok,correct,,1709,1200,3000,True
DOS-FCD93952AF,Uganda,m2_clinical_overview,2,present,length_ok,incorrect,clinical_failed,2490,900,2500,True
DOS-FCD93952AF,Uganda,m3_api_quality,3,present,length_ok,correct,,1613,1300,3200,True
DOS-FCD93952AF,Uganda,m3_fpp_manufacturing,3,present,length_ok,correct,,1386,1200,3000,True
DOS-FCD93952AF,Uganda,m3_stability,3,present,length_ok,correct,,1957,900,2600,True
